,time,open,high,low,close,volume,symbol
776,2022-11-07 13:30:00,87.86,87.95,87.76,87.89,559896,GOOGL
777,2022-11-07 13:15:00,87.485,87.9,87.475,87.855,1054148,GOOGL
778,2022-11-07 13:00:00,87.39,87.49,87.25,87.49,529646,GOOGL
779,2022-11-07 12:45:00,87.33,87.46,87.285,87.39,682241,GOOGL
780,2022-11-07 12:30:00,87.3175,87.4,87.13,87.33,439355,GOOGL
781,2022-11-07 12:15:00,87.345,87.385,87.08,87.31,943735,GOOGL
782,2022-11-07 12:00:00,87.42,87.6357,87.31,87.345,769412,GOOGL
783,2022-11-07 11:45:00,87.895,87.98,87.34,87.42,828490,GOOGL
784,2022-11-07 11:30:00,87.83,88.05,87.755,87.9,1046387,GOOGL
785,2022-11-07 11:15:00,88.03,88.07,87.775,87.83,1011040,GOOGL
786,2022-11-07 11:00:00,87.76,88.04,87.635,88.018,1027514,GOOGL
787,2022-11-07 10:45:00,87.72,87.9325,87.435,87.77,1011603,GOOGL
788,2022-11-07 10:30:00,87.8,88.11,87.51,87.72,1419901,GOOGL
789,2022-11-07 10:15:00,87.235,87.875,87.225,87.8095,1577372,GOOGL
790,2022-11-07 10:00:00,87.22,87.48,86.98,87.23,1407341,GOOGL
791,2022-11-07 09:45:00,87.28,87.945,86.85,87.22,2966185,GOOGL
792,2022-11-07 09:30:00,87.43,87.5,87.2,87.28,55408,GOOGL
793,2022-11-07 09:15:00,87.2365,87.46,87.13,87.42,55413,GOOGL
794,2022-11-07 09:00:00,87.07,87.28,87.05,87.2066,36206,GOOGL
795,2022-11-07 08:45:00,87.06,87.1489,86.95,87.09,24205,GOOGL
796,2022-11-07 08:30:00,87.12,87.2,86.96,87.03,28793,GOOGL
797,2022-11-07 08:15:00,87.3002,87.5,86.08,87.0998,88388,GOOGL
798,2022-11-07 08:00:00,87.14,87.2,87.14,87.2,2547,GOOGL
799,2022-11-07 07:45:00,87.3,87.35,87.18,87.18,13192,GOOGL
800,2022-11-07 07:30:00,87.31,87.4,87.31,87.38,7656,GOOGL
801,2022-11-07 07:15:00,87.26,87.52,87.12,87.5,39811,GOOGL
802,2022-11-07 07:00:00,87.48,87.49,87.28,87.28,3220,GOOGL
803,2022-11-07 06:45:00,87.42,87.48,87.4,87.47,4862,GOOGL
804,2022-11-07 06:30:00,87.28,87.42,87.27,87.42,4813,GOOGL
805,2022-11-07 06:15:00,87.24,87.49,87.24,87.4,7097,GOOGL
806,2022-11-07 06:00:00,87.14,87.34,87.11,87.34,5869,GOOGL
807,2022-11-07 05:45:00,87.1,87.14,87.09,87.14,3050,GOOGL
808,2022-11-07 05:30:00,87.14,87.15,87.05,87.15,3097,GOOGL
809,2022-11-07 05:15:00,86.82,87.08,86.82,87.02,1688,GOOGL
810,2022-11-07 05:00:00,86.97,86.97,86.78,86.78,1557,GOOGL
811,2022-11-07 04:45:00,87.01,87.07,86.95,86.97,3613,GOOGL
812,2022-11-07 04:30:00,86.8,87.0,86.8,86.97,4816,GOOGL
813,2022-11-07 04:15:00,87.25,87.25,86.75,86.83,12965,GOOGL
814,2022-11-04 20:00:00,86.52,86.53,86.46,86.53,3665,GOOGL
815,2022-11-04 19:45:00,86.51,86.51,86.45,86.48,1844,GOOGL
816,2022-11-04 19:30:00,86.46,86.53,86.45,86.51,893,GOOGL
817,2022-11-04 19:15:00,86.5,86.5,86.46,86.5,3201,GOOGL
818,2022-11-04 19:00:00,86.48,86.52,86.48,86.52,949,GOOGL
819,2022-11-04 18:45:00,86.46,86.4601,86.46,86.46,2884,GOOGL
820,2022-11-04 18:30:00,86.51,86.51,86.45,86.46,2380,GOOGL
821,2022-11-04 18:15:00,86.45,86.52,86.45,86.52,929,GOOGL
822,2022-11-04 18:00:00,86.5,86.53,86.46,86.53,4907,GOOGL
823,2022-11-04 17:45:00,86.49,86.5,86.4527,86.5,2110,GOOGL
824,2022-11-04 17:30:00,86.3916,86.43,86.3916,86.42,3651,GOOGL
825,2022-11-04 17:15:00,86.42,86.45,86.3899,86.41,3388,GOOGL
826,2022-11-04 17:00:00,86.42,86.75,86.42,86.42,98248,GOOGL
827,2022-11-04 16:45:00,86.4796,86.48,86.43,86.46,5937,GOOGL
828,2022-11-04 16:30:00,86.46,86.58,84.0,86.48,1063728,GOOGL
829,2022-11-04 16:15:00,86.58,86.74,86.42,86.44,1316612,GOOGL
830,2022-11-04 16:00:00,86.47,86.64,86.2,86.64,3896458,GOOGL
831,2022-11-04 15:45:00,86.25,86.49,86.05,86.4701,1608433,GOOGL
832,2022-11-04 15:30:00,86.485,86.58,86.12,86.24,935006,GOOGL
833,2022-11-04 15:15:00,86.255,86.58,86.1,86.49,2430763,GOOGL
834,2022-11-04 15:00:00,86.075,86.265,85.785,86.25,1022802,GOOGL
835,2022-11-04 14:45:00,85.675,86.107,85.54,86.075,907163,GOOGL
836,2022-11-04 14:30:00,85.175,85.75,85.09,85.67,845877,GOOGL
837,2022-11-04 14:15:00,85.38,85.425,85.0,85.175,843456,GOOGL
838,2022-11-04 14:00:00,85.08,85.435,84.99,85.36,886353,GOOGL
839,2022-11-04 13:45:00,85.245,85.26,84.92,85.075,766757,GOOGL
840,2022-11-04 13:30:00,85.33,85.48,85.15,85.245,761416,GOOGL
841,2022-11-04 13:15:00,85.15,85.35,84.72,85.35,972564,GOOGL
842,2022-11-04 13:00:00,85.09,85.2,84.9,85.16,843177,GOOGL
843,2022-11-04 12:45:00,85.375,85.5393,84.93,85.08,961601,GOOGL
844,2022-11-04 12:30:00,84.74,85.48,84.705,85.375,1259441,GOOGL
845,2022-11-04 12:15:00,84.42,84.79,84.11,84.745,1415912,GOOGL
846,2022-11-04 12:00:00,84.67,84.685,84.22,84.405,1823526,GOOGL
847,2022-11-04 11:45:00,84.75,85.08,84.49,84.69,972611,GOOGL
848,2022-11-04 11:30:00,84.909,85.29,84.67,84.7359,1402896,GOOGL
849,2022-11-04 11:15:00,85.51,85.7,84.75,84.91,1603018,GOOGL
850,2022-11-04 11:00:00,86.11,86.35,85.4,85.51,2056521,GOOGL
851,2022-11-04 10:45:00,85.88,86.285,85.72,86.1186,2794191,GOOGL
852,2022-11-04 10:30:00,85.33,86.04,85.27,85.866,2898915,GOOGL
853,2022-11-04 10:15:00,84.83,85.41,84.53,85.32,3005298,GOOGL
854,2022-11-04 10:00:00,84.075,85.48,83.71,84.825,2555708,GOOGL
855,2022-11-04 09:45:00,85.4,85.99,84.02,84.075,5077067,GOOGL
856,2022-11-04 09:30:00,85.06,85.47,85.03,85.44,170162,GOOGL
857,2022-11-04 09:15:00,84.75,85.1,84.69,85.06,204101,GOOGL
858,2022-11-04 09:00:00,84.38,84.75,84.31,84.75,100001,GOOGL
859,2022-11-04 08:45:00,84.22,84.9,83.57,84.32,267262,GOOGL
860,2022-11-04 08:30:00,84.17,84.31,84.17,84.24,60634,GOOGL
861,2022-11-04 08:15:00,84.28,84.55,83.222,84.2,89373,GOOGL
862,2022-11-04 08:00:00,84.42,84.45,84.35,84.45,10803,GOOGL
863,2022-11-04 07:45:00,84.41,84.46,84.33,84.36,21158,GOOGL
864,2022-11-04 07:30:00,84.42,84.51,84.38,84.4,23033,GOOGL
865,2022-11-04 07:15:00,84.44,84.55,84.15,84.37,37996,GOOGL
866,2022-11-04 07:00:00,84.35,84.59,84.35,84.46,5497,GOOGL
867,2022-11-04 06:45:00,84.34,84.4,84.34,84.35,1845,GOOGL
868,2022-11-04 06:30:00,84.25,84.37,84.25,84.31,4967,GOOGL
869,2022-11-04 06:15:00,84.28,84.28,84.1,84.1,6067,GOOGL
870,2022-11-04 06:00:00,84.27,84.41,84.22,84.36,15883,GOOGL
871,2022-11-04 05:45:00,84.3,84.3,84.11,84.16,3123,GOOGL
872,2022-11-04 05:30:00,84.25,84.52,84.25,84.44,9242,GOOGL
873,2022-11-04 05:15:00,84.21,84.24,84.15,84.23,2781,GOOGL
874,2022-11-04 05:00:00,84.09,84.21,83.98,84.21,5799,GOOGL
875,2022-11-04 04:45:00,84.0,84.07,83.94,84.07,9262,GOOGL
876,2022-11-04 04:30:00,84.11,84.11,83.98,83.98,4537,GOOGL
877,2022-11-04 04:15:00,85.52,85.52,83.8,84.05,17864,GOOGL
878,2022-11-03 20:00:00,83.55,83.68,83.5,83.68,36000,GOOGL
879,2022-11-03 19:45:00,83.6501,83.68,83.55,83.55,9761,GOOGL
880,2022-11-03 19:30:00,83.68,83.75,83.66,83.66,5600,GOOGL
881,2022-11-03 19:15:00,83.74,83.75,83.65,83.7,6386,GOOGL
882,2022-11-03 19:00:00,83.7,83.75,83.64,83.69,3915,GOOGL
883,2022-11-03 18:45:00,83.6,83.74,83.55,83.64,7087,GOOGL
884,2022-11-03 18:30:00,83.56,83.64,83.5,83.61,14701,GOOGL
885,2022-11-03 18:15:00,83.5,83.76,83.5,83.56,19726,GOOGL
886,2022-11-03 18:00:00,83.51,83.6225,83.44,83.47,18919,GOOGL
887,2022-11-03 17:45:00,83.65,83.68,83.54,83.66,25714,GOOGL
888,2022-11-03 17:30:00,83.69,83.7,83.64,83.65,19170,GOOGL
889,2022-11-03 17:15:00,83.66,83.71,83.6503,83.6701,18279,GOOGL
890,2022-11-03 17:00:00,83.64,83.7,83.43,83.66,24710,GOOGL
891,2022-11-03 16:45:00,83.61,83.7,83.43,83.66,161543,GOOGL
892,2022-11-03 16:30:00,83.58,83.67,83.52,83.6,60299,GOOGL
893,2022-11-03 16:15:00,83.43,83.59,83.41,83.59,647534,GOOGL
894,2022-11-03 16:00:00,83.815,83.87,83.34,83.41,7462503,GOOGL
895,2022-11-03 15:45:00,83.95,84.1,83.8004,83.815,2691890,GOOGL
896,2022-11-03 15:30:00,84.015,84.13,83.81,83.945,2240939,GOOGL
897,2022-11-03 15:15:00,84.27,84.31,83.95,84.01,2164984,GOOGL
898,2022-11-03 15:00:00,84.0419,84.29,84.0,84.27,2002379,GOOGL
899,2022-11-03 14:45:00,84.365,84.455,84.01,84.045,1772032,GOOGL
900,2022-11-03 14:30:00,84.265,84.44,84.135,84.368,1301968,GOOGL
901,2022-11-03 14:15:00,84.465,84.55,84.26,84.27,1104104,GOOGL
902,2022-11-03 14:00:00,84.54,84.7,84.455,84.465,914048,GOOGL
903,2022-11-03 13:45:00,84.825,84.88,84.39,84.5499,1758664,GOOGL
904,2022-11-03 13:30:00,84.98,85.045,84.68,84.825,897385,GOOGL
905,2022-11-03 13:15:00,85.395,85.43,84.93,84.973,1428746,GOOGL
906,2022-11-03 13:00:00,85.315,85.43,85.1,85.3982,1406439,GOOGL
907,2022-11-03 12:45:00,85.03,85.37,84.9804,85.32,1583107,GOOGL
908,2022-11-03 12:30:00,84.91,85.29,84.89,85.04,1741096,GOOGL
909,2022-11-03 12:15:00,84.7,85.07,84.59,84.915,1823243,GOOGL
910,2022-11-03 12:00:00,84.93,85.0889,84.61,84.71,1663642,GOOGL
911,2022-11-03 11:45:00,85.1,85.375,84.7528,84.93,2937603,GOOGL
912,2022-11-03 11:30:00,85.3289,85.38,85.09,85.1,1473081,GOOGL
913,2022-11-03 11:15:00,85.78,85.95,85.3,85.325,1550128,GOOGL
914,2022-11-03 11:00:00,85.545,85.99,85.545,85.78,2226051,GOOGL
915,2022-11-03 10:45:00,85.76,85.765,85.46,85.54,2129359,GOOGL
916,2022-11-03 10:30:00,85.58,85.81,85.4,85.75,2088542,GOOGL
917,2022-11-03 10:15:00,85.51,85.69,85.075,85.585,3137788,GOOGL
918,2022-11-03 10:00:00,85.99,86.03,85.47,85.5,2971941,GOOGL
919,2022-11-03 09:45:00,86.32,86.52,85.77,85.9801,4173517,GOOGL
920,2022-11-03 09:30:00,86.79,86.81,86.21,86.37,132936,GOOGL
921,2022-11-03 09:15:00,86.53,86.8,86.33,86.8,68102,GOOGL
922,2022-11-03 09:00:00,86.55,86.59,86.38,86.53,43473,GOOGL
923,2022-11-03 08:45:00,86.59,86.69,86.39,86.55,47606,GOOGL
924,2022-11-03 08:30:00,86.79,86.9,86.64,86.65,19186,GOOGL
925,2022-11-03 08:15:00,86.92,86.99,86.51,86.76,63973,GOOGL
926,2022-11-03 08:00:00,86.57,86.6,86.52,86.58,4220,GOOGL
927,2022-11-03 07:45:00,86.69,86.81,86.55,86.55,20873,GOOGL
928,2022-11-03 07:30:00,86.7,87.0,86.62,86.65,14935,GOOGL
929,2022-11-03 07:15:00,87.0,87.04,86.7,86.7,13986,GOOGL
930,2022-11-03 07:00:00,86.69,86.87,86.66,86.76,8045,GOOGL
931,2022-11-03 06:45:00,86.9,86.9,86.71,86.71,2925,GOOGL
932,2022-11-03 06:30:00,87.04,87.05,86.83,86.84,7855,GOOGL
933,2022-11-03 06:15:00,87.18,87.18,87.07,87.07,2681,GOOGL
934,2022-11-03 06:00:00,87.15,87.15,87.06,87.08,4226,GOOGL
935,2022-11-03 05:45:00,87.29,87.29,87.25,87.25,1002,GOOGL
936,2022-11-03 05:30:00,87.24,87.31,87.15,87.31,2214,GOOGL
937,2022-11-03 05:15:00,87.1,87.3,87.1,87.25,1308,GOOGL
938,2022-11-03 05:00:00,87.11,87.15,87.01,87.01,4358,GOOGL
939,2022-11-03 04:45:00,87.05,87.15,86.97,87.15,4196,GOOGL
940,2022-11-03 04:30:00,87.4,87.4,87.1,87.1,2687,GOOGL
941,2022-11-03 04:15:00,87.97,87.97,87.15,87.4,6475,GOOGL
942,2022-11-02 20:00:00,86.88,87.05,86.88,87.04,13067,GOOGL
943,2022-11-02 19:45:00,86.85,86.96,86.85,86.94,5480,GOOGL
944,2022-11-02 19:30:00,86.95,86.95,86.82,86.88,9700,GOOGL
945,2022-11-02 19:15:00,86.95,86.95,86.85,86.85,6213,GOOGL
946,2022-11-02 19:00:00,86.95,86.98,86.92,86.92,4246,GOOGL
947,2022-11-02 18:45:00,86.82,86.99,86.79,86.95,20693,GOOGL
948,2022-11-02 18:30:00,86.77,86.92,86.77,86.9,12742,GOOGL
949,2022-11-02 18:15:00,86.95,86.99,86.74,86.87,44880,GOOGL
950,2022-11-02 18:00:00,87.0,87.08,86.95,86.95,51475,GOOGL
951,2022-11-02 17:45:00,86.97,87.05,86.97,86.9811,11526,GOOGL
952,2022-11-02 17:30:00,86.98,87.0682,86.9,86.9779,15366,GOOGL
953,2022-11-02 17:15:00,86.96,87.0051,86.91,86.98,27413,GOOGL
954,2022-11-02 17:00:00,87.0,87.1,86.8,86.97,123109,GOOGL
955,2022-11-02 16:45:00,86.92,87.05,86.92,86.99,60402,GOOGL
956,2022-11-02 16:30:00,86.8,86.97,86.75,86.96,118945,GOOGL
957,2022-11-02 16:15:00,86.96,87.57,86.75,86.8,1127246,GOOGL
958,2022-11-02 16:00:00,87.69,87.7,86.88,86.9,5816753,GOOGL
959,2022-11-02 15:45:00,87.98,87.98,87.54,87.685,2543266,GOOGL
960,2022-11-02 15:30:00,88.9,88.9,87.73,87.985,3052684,GOOGL
961,2022-11-02 15:15:00,88.95,89.55,88.77,88.9,2312374,GOOGL
962,2022-11-02 15:00:00,89.97,90.3501,88.52,88.95,3246524,GOOGL
963,2022-11-02 14:45:00,90.87,91.18,89.2,90.0,4415084,GOOGL
964,2022-11-02 14:30:00,90.25,90.865,90.03,90.865,2128088,GOOGL
965,2022-11-02 14:15:00,89.67,91.11,89.21,90.24,4333001,GOOGL
966,2022-11-02 14:00:00,89.5814,89.905,89.5814,89.67,1163723,GOOGL
967,2022-11-02 13:45:00,89.23,89.7476,89.2,89.59,1045212,GOOGL
968,2022-11-02 13:30:00,89.26,89.31,89.155,89.22,503777,GOOGL
969,2022-11-02 13:15:00,89.425,89.48,89.25,89.26,482298,GOOGL
970,2022-11-02 13:00:00,89.39,89.51,89.26,89.42,706227,GOOGL
